model,method,target_city,eval_split,recall@20_mean,ndcg@20_mean,delta_R_vs_target_mean,delta_N_vs_target_mean,pct_R_vs_target_mean,pct_N_vs_target_mean,delta_R_vs_otc_mean,delta_N_vs_otc_mean,pct_R_vs_otc_mean,pct_N_vs_otc_mean,recall@20_std,ndcg@20_std,delta_R_vs_target_std,delta_N_vs_target_std,pct_R_vs_target_std,pct_N_vs_target_std,delta_R_vs_otc_std,delta_N_vs_otc_std,pct_R_vs_otc_std,pct_N_vs_otc_std,recall@20_mean±std,ndcg@20_mean±std
VanillaMF,HR-Rerank-OTC-GW,Chicago,strict_unseen_test,0.15989520914804164,0.0864545873707609,-0.008324176797349167,-0.003975771276114935,-4.933265518777531,-4.454203311583679,0.03355465505625991,0.010971499510795036,30.476497981531526,15.739637477400441,0.008845376880444674,0.005508124361022961,0.00634009691547327,0.0029117626491143586,3.733936635650627,3.379343116317452,0.02215464290524603,0.007315128170621711,25.358899921465124,11.998759540012655,0.1599±0.0088,0.0865±0.0055
VanillaMF,HR-Rerank-OTC-GW,NYC,official_test,0.16831781138727106,0.0964865996578035,0.04304372051916496,0.034597168905718664,34.40350671643714,55.925142503491394,0.04916522244786222,0.03652373350785793,42.3859354101809,61.58971595848564,0.002101788366345483,0.0008674226456684421,0.0026284932215173158,0.0014957995559683821,2.8687899170285087,3.043737557631386,0.011621100920449615,0.0050647353684182125,14.665086035249496,12.918793817127954,0.1683±0.0021,0.0965±0.0009
VanillaMF,HR-Rerank-OTC-GW,NYC,strict_unseen_test,0.11332433418383624,0.049531731994684226,0.0100155009537259,0.004753193192211666,9.72333648359094,10.634657556416274,0.01609775897302246,0.0057483575030413655,17.397019078070798,13.45253108027812,0.0044414441668311514,0.0006868859767822687,0.004980394418064817,0.0011587349329453976,4.885824356077218,2.710269087228115,0.0076684506003423,0.0027091388556418506,10.1592173582702,6.983564084405248,0.1133±0.0044,0.0495±0.0007
VanillaMF,HR-Rerank-OTC-GW,Singapore,official_test,0.4830741639892242,0.2757297835010252,0.03527520374354002,0.03665147010082242,7.878103274052002,15.339878044386523,0.047559350807940236,0.04351492277117814,10.983082929767626,18.746901123695654,0.006306523703098929,0.005185143260388522,0.006593442801536257,0.006178983513035556,1.477471091406796,2.6545543659998114,0.00978919901977812,0.002180765836816923,2.6799865974645467,1.0673042929656285,0.4831±0.0063,0.2757±0.0052
VanillaMF,HR-Rerank-OTC-GW,Singapore,strict_unseen_test,0.41114105845385046,0.18026841361641285,0.01166471394185753,0.0019449642091581658,2.936752271592784,1.1040876880200223,0.023024913849543454,0.0067536568103692685,5.9807015995137425,3.9154346130325735,0.0069291838893263905,0.0016241660891005258,0.010210114324076439,0.0033701862512222546,2.5771116335762514,1.896878440829058,0.010204745311455482,0.002423613601052842,2.799273661859038,1.4998457957143794,0.4111±0.0069,0.1803±0.0016
VanillaMF,HR-Rerank-OTC-GW,Tokyo,official_test,0.16569456952937608,0.09141548364679351,0.040348230259298394,0.024694609118472637,32.19485554190463,37.01989492679784,0.04101235508607721,0.024590162643308804,32.91934747158617,36.797501421805286,0.0012341570685457943,0.0006905000668696046,0.0017864991273888675,0.0010780152265881622,1.5884313121443705,1.8513735046297823,0.0027396588292146885,0.00022298666210891714,2.684763417145392,0.14765454148188975,0.1657±0.0012,0.0914±0.0007
VanillaMF,HR-Rerank-OTC-GW,Tokyo,strict_unseen_test,0.12532199471487984,0.05869007641072177,0.004998110460546962,0.0013113160993918672,4.1605035601002305,2.2902967700496806,0.005620967803127462,0.000995154927075766,4.722797652109985,1.7250799310011284,0.0017208159935111459,0.0006827994402276488,0.002276116298266475,0.0008566937910721102,1.9131676409574376,1.497524334982239,0.0031831428548346674,0.0004992338068691397,2.743527007457177,0.8617028409805807,0.1253±0.0017,0.0587±0.0007
VanillaMF,Original-OTC-GW-NoFallback,Chicago,official_test,0.13658015506494553,0.10901245340710901,-0.05838398948366691,-0.02364876361202717,-29.665270887871742,-17.781015747003657,0.0,0.0,0.0,0.0,0.02921127082896487,0.01200817179096711,0.03392876147203083,0.012626264589411004,16.89475312587157,9.520187495891035,0.0,0.0,0.0,0.0,0.1366±0.0292,0.1090±0.0120
VanillaMF,Original-OTC-GW-NoFallback,Chicago,strict_unseen_test,0.12634055409178171,0.07548308785996587,-0.04187883185360908,-0.014947270786909972,-25.306811523898247,-16.750526381886562,0.0,0.0,0.0,0.0,0.02928027692866028,0.01162505414821123,0.021873199926244695,0.008697783635031504,14.20673852906793,10.26461893996879,0.0,0.0,0.0,0.0,0.1263±0.0293,0.0755±0.0116
VanillaMF,Original-OTC-GW-NoFallback,NYC,official_test,0.11915258893940883,0.05996286614994556,-0.006121501928697264,-0.00192656460213927,-4.966950446615944,-3.1596590129147373,0.0,0.0,0.0,0.0,0.013715181249292704,0.004739331879450251,0.011804769862154592,0.004061891703617567,9.422004764406958,6.564366782259851,0.0,0.0,0.0,0.0,0.1192±0.0137,0.0600±0.0047
VanillaMF,Original-OTC-GW-NoFallback,NYC,strict_unseen_test,0.09722657521081378,0.04378337449164287,-0.006082258019296562,-0.0009951643108296996,-5.868696262739163,-2.206167283372276,0.0,0.0,0.0,0.0,0.012061371102047526,0.0030719156584086576,0.012182382176371749,0.003189672442788355,11.671660961393597,7.069262492000239,0.0,0.0,0.0,0.0,0.0972±0.0121,0.0438±0.0031
VanillaMF,Original-OTC-GW-NoFallback,Singapore,official_test,0.43551481318128404,0.2322148607298471,-0.012284147064400211,-0.006863452670355726,-2.7421431791914976,-2.8580667401074167,0.0,0.0,0.0,0.0,0.015536157861903195,0.005017721673892025,0.015741126832108057,0.006580192158576574,3.512862346940415,2.727036850886169,0.0,0.0,0.0,0.0,0.4355±0.0155,0.2322±0.0050
VanillaMF,Original-OTC-GW-NoFallback,Singapore,strict_unseen_test,0.38811614460430705,0.17351475680604359,-0.011360199907685923,-0.004808692601211102,-2.8106843961619954,-2.677656131699811,0.0,0.0,0.0,0.0,0.011880589590006874,0.004028681153487216,0.016696110169869396,0.005531571372486998,4.117040092034129,3.0613819328124166,0.0,0.0,0.0,0.0,0.3881±0.0119,0.1735±0.0040
VanillaMF,Original-OTC-GW-NoFallback,Tokyo,official_test,0.12468221444329886,0.0668253210034847,-0.0006641248267788141,0.00010444647516383299,-0.5253303509296329,0.16265598612096166,0.0,0.0,0.0,0.0,0.0018960672819436889,0.0004825881359126285,0.002272760410465206,0.0009068378579909999,1.8127263646368355,1.3590845712881658,0.0,0.0,0.0,0.0,0.1247±0.0019,0.0668±0.0005
VanillaMF,Original-OTC-GW-NoFallback,Tokyo,strict_unseen_test,0.1197010269117524,0.057694921483646,-0.0006228573425805008,0.0003161611723161012,-0.511974008067717,0.558839387991496,0.0,0.0,0.0,0.0,0.00198352970633356,0.00048091339539695587,0.0024072634736478538,0.0008894034993456949,1.9997743636712675,1.552843591506905,0.0,0.0,0.0,0.0,0.1197±0.0020,0.0577±0.0005
VanillaMF,RD-Safe+HR-Rerank-OTC-GW,Chicago,official_test,0.23300976373024293,0.1639749607250281,0.03804561918163046,0.031313743705891926,19.591468258501887,23.644416383340015,0.09642960866529737,0.054962507317919095,75.99268993531805,51.645691523806086,0.0014103809772156388,0.001699109454920173,0.006092441809414788,0.0020232704348687614,3.7894174672508982,2.1525085041618155,0.02839605676954374,0.012027731167486864,37.99059042447459,16.717618277546652,0.2330±0.0014,0.1640±0.0017
VanillaMF,RD-Safe+HR-Rerank-OTC-GW,Chicago,strict_unseen_test,0.1696385595820111,0.08492204423274001,0.0014191736366202894,-0.005508314414135833,0.9173246538236547,-6.037206599206257,0.043298005490229365,0.009438956372774138,39.2263752048558,14.300017122154081,0.004336545166738959,0.0014575999134042155,0.004551787633509672,0.002704691092413224,2.7889228668640533,2.868610119978545,0.026356526748019443,0.010887808475433487,32.656138957596724,17.719075792566095,0.1696±0.0043,0.0849±0.0015
VanillaMF,RD-Safe+HR-Rerank-OTC-GW,NYC,official_test,0.17443286181158638,0.09922850616261326,0.049158770943480305,0.03733907541052843,39.33159457796378,60.380947745180954,0.05528027287217757,0.0392656400126677,47.88978230805852,66.37777553226852,0.0029123787605583743,0.002563441038054645,0.005693550694627397,0.0033098379255473887,5.439491824802911,6.039103933657076,0.01662589376914512,0.007271892228439736,19.522743743041964,16.97690104348159,0.1744±0.0029,0.0992±0.0026
VanillaMF,RD-Safe+HR-Rerank-OTC-GW,NYC,strict_unseen_test,0.11560240335926693,0.0513447754437762,0.0122935701291566,0.006566236641303631,11.906191604027478,14.661335583514107,0.018375828148453163,0.007561400952133331,20.25905659336568,17.792053739878,0.0018558102635851175,0.0013855278044878543,0.0011671389160501672,0.0011972179129421954,1.198628722796655,2.6315968884921386,0.013249388215443627,0.00438024338766394,16.647628307099325,11.288980188835392,0.1156±0.0019,0.0513±0.0014
